"BatchId","ReviewRowId","BacklogId","SourceId","Priority","HistoricalStatus","Category","System","HistoricalFile","CurrentFile","Class","BacklogRiskCategory","OriginalEvidence","RegisterEvidence","VersionHandling","FieldAlignment","BaseCallStatus","HasSerialConstructor","MatchQuality","Risk","RecommendedFix","Decision","SourceEvidence","Action","Verification","ReviewedBatchId","ReviewedAt","Notes"
"POST-BATCH-J","PBJ-0001","RB-00064","P10-F00064","P1","Ready","Save compatibility","Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastBackpack.cs","Data/Scripts/Custom/Champions/Items/PlagueBeastBackpack.cs","Server.Items.PlagueBeastBackpack","VersionHandling","Serialize:L209;Deserialize:L216;SerialCtor:L206; class=Server.Items.PlagueBeastBackpack; category=VersionHandling","Serialize:L209;Deserialize:L216;SerialCtor:L206","NoVersionFound","AlignedByCountAndKnownTypes","BaseCallsFirst","True","ExactFileClass","Save","Confirm current save version write/read and add guarded older-version handling where needed.","IntentionalLegacy","Current source file exists at Data/Scripts/Custom/Champions/Items/PlagueBeastBackpack.cs; match=ExactFileClass; serializer evidence=Serialize:L209;Deserialize:L216;SerialCtor:L206; class=Server.Items.PlagueBeastBackpack; kind=Item; HasSerialConstructor=True; BaseCallStatus=BaseCallsFirst; VersionHandling=NoVersionFound; FieldAlignment=AlignedByCountAndKnownTypes; MoveRenameRisk=NamespaceOrTypeRenameDanger; ReviewStatus=NeedsSourceReview; ReviewReasons=NoVersionFound","No source change. Preserve the existing fixed-format legacy serializer; adding a version field would be a save-layout migration and is not approved in this triage batch.","Reviewed against current source-derived serialization-register evidence and confirmed the current source file exists. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. No source serializer edit was made; migration/build/runtime proof is deferred until a layout change is explicitly approved.","POST-BATCH-J-01A","2026-06-14T12:11:35.4567553-05:00","Historical path=Data/Scripts/Custom/Champions/Items/PlagueBeastBackpack.cs; backlog risk category=VersionHandling; write count=1; read count=1. POST-BATCH-J is triage only; no serialized layout edit is approved by this row."
"POST-BATCH-J","PBJ-0002","RB-00065","P10-F00065","P1","Ready","Save compatibility","Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastBlood.cs","Data/Scripts/Custom/Champions/Items/PlagueBeastBlood.cs","Server.Items.PlagueBeastBlood","VersionHandling","Serialize:L118;Deserialize:L125;SerialCtor:L115; class=Server.Items.PlagueBeastBlood; category=VersionHandling","Serialize:L118;Deserialize:L125;SerialCtor:L115","NoVersionFound","AlignedByCountAndKnownTypes","BaseCallsFirst","True","ExactFileClass","Save","Confirm current save version write/read and add guarded older-version handling where needed.","IntentionalLegacy","Current source file exists at Data/Scripts/Custom/Champions/Items/PlagueBeastBlood.cs; match=ExactFileClass; serializer evidence=Serialize:L118;Deserialize:L125;SerialCtor:L115; class=Server.Items.PlagueBeastBlood; kind=Item; HasSerialConstructor=True; BaseCallStatus=BaseCallsFirst; VersionHandling=NoVersionFound; FieldAlignment=AlignedByCountAndKnownTypes; MoveRenameRisk=NamespaceOrTypeRenameDanger; ReviewStatus=NeedsSourceReview; ReviewReasons=NoVersionFound","No source change. Preserve the existing fixed-format legacy serializer; adding a version field would be a save-layout migration and is not approved in this triage batch.","Reviewed against current source-derived serialization-register evidence and confirmed the current source file exists. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. No source serializer edit was made; migration/build/runtime proof is deferred until a layout change is explicitly approved.","POST-BATCH-J-01A","2026-06-14T12:11:35.4567553-05:00","Historical path=Data/Scripts/Custom/Champions/Items/PlagueBeastBlood.cs; backlog risk category=VersionHandling; write count=1; read count=1. POST-BATCH-J is triage only; no serialized layout edit is approved by this row."
"POST-BATCH-J","PBJ-0003","RB-00066","P10-F00066","P1","Ready","Save compatibility","Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastGland.cs","Data/Scripts/Custom/Champions/Items/PlagueBeastGland.cs","Server.Items.PlagueBeastGland","VersionHandling","Serialize:L20;Deserialize:L27;SerialCtor:L17; class=Server.Items.PlagueBeastGland; category=VersionHandling","Serialize:L20;Deserialize:L27;SerialCtor:L17","NoVersionFound","AlignedByCountAndKnownTypes","BaseCallsFirst","True","ExactFileClass","Save","Confirm current save version write/read and add guarded older-version handling where needed.","IntentionalLegacy","Current source file exists at Data/Scripts/Custom/Champions/Items/PlagueBeastGland.cs; match=ExactFileClass; serializer evidence=Serialize:L20;Deserialize:L27;SerialCtor:L17; class=Server.Items.PlagueBeastGland; kind=Item; HasSerialConstructor=True; BaseCallStatus=BaseCallsFirst; VersionHandling=NoVersionFound; FieldAlignment=AlignedByCountAndKnownTypes; MoveRenameRisk=NamespaceOrTypeRenameDanger; ReviewStatus=NeedsSourceReview; ReviewReasons=NoVersionFound","No source change. Preserve the existing fixed-format legacy serializer; adding a version field would be a save-layout migration and is not approved in this triage batch.","Reviewed against current source-derived serialization-register evidence and confirmed the current source file exists. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. No source serializer edit was made; migration/build/runtime proof is deferred until a layout change is explicitly approved.","POST-BATCH-J-01A","2026-06-14T12:11:35.4567553-05:00","Historical path=Data/Scripts/Custom/Champions/Items/PlagueBeastGland.cs; backlog risk category=VersionHandling; write count=1; read count=1. POST-BATCH-J is triage only; no serialized layout edit is approved by this row."
"POST-BATCH-J","PBJ-0004","RB-00067","P10-F00067","P1","Ready","Save compatibility","Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastHeart.cs","Data/Scripts/Custom/Champions/Items/PlagueBeastHeart.cs","Server.Items.PlagueBeastHeart","VersionHandling","Serialize:L26;Deserialize:L33;SerialCtor:L23; class=Server.Items.PlagueBeastHeart; category=VersionHandling","Serialize:L26;Deserialize:L33;SerialCtor:L23","NoVersionFound","AlignedByCountAndKnownTypes","BaseCallsFirst","True","ExactFileClass","Save","Confirm current save version write/read and add guarded older-version handling where needed.","IntentionalLegacy","Current source file exists at Data/Scripts/Custom/Champions/Items/PlagueBeastHeart.cs; match=ExactFileClass; serializer evidence=Serialize:L26;Deserialize:L33;SerialCtor:L23; class=Server.Items.PlagueBeastHeart; kind=Item; HasSerialConstructor=True; BaseCallStatus=BaseCallsFirst; VersionHandling=NoVersionFound; FieldAlignment=AlignedByCountAndKnownTypes; MoveRenameRisk=NamespaceOrTypeRenameDanger; ReviewStatus=NeedsSourceReview; ReviewReasons=NoVersionFound","No source change. Preserve the existing fixed-format legacy serializer; adding a version field would be a save-layout migration and is not approved in this triage batch.","Reviewed against current source-derived serialization-register evidence and confirmed the current source file exists. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. No source serializer edit was made; migration/build/runtime proof is deferred until a layout change is explicitly approved.","POST-BATCH-J-01A","2026-06-14T12:11:35.4567553-05:00","Historical path=Data/Scripts/Custom/Champions/Items/PlagueBeastHeart.cs; backlog risk category=VersionHandling; write count=1; read count=1. POST-BATCH-J is triage only; no serialized layout edit is approved by this row."
"POST-BATCH-J","PBJ-0005","RB-00068","P10-F00068","P1","Ready","Save compatibility","Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastInnard.cs","Data/Scripts/Custom/Champions/Items/PlagueBeastInnard.cs","Server.Items.PlagueBeastComponent","VersionHandling","Serialize:L176;Deserialize:L185;SerialCtor:L173; class=Server.Items.PlagueBeastComponent; category=VersionHandling","Serialize:L176;Deserialize:L185;SerialCtor:L173","NoVersionFound","AlignedByCountAndKnownTypes","BaseCallsFirst","True","ExactFileClass","Save","Confirm current save version write/read and add guarded older-version handling where needed.","IntentionalLegacy","Current source file exists at Data/Scripts/Custom/Champions/Items/PlagueBeastInnard.cs; match=ExactFileClass; serializer evidence=Serialize:L176;Deserialize:L185;SerialCtor:L173; class=Server.Items.PlagueBeastComponent; kind=Item; HasSerialConstructor=True; BaseCallStatus=BaseCallsFirst; VersionHandling=NoVersionFound; FieldAlignment=AlignedByCountAndKnownTypes; MoveRenameRisk=NamespaceOrTypeRenameDanger; ReviewStatus=NeedsSourceReview; ReviewReasons=NoVersionFound","No source change. Preserve the existing fixed-format legacy serializer; adding a version field would be a save-layout migration and is not approved in this triage batch.","Reviewed against current source-derived serialization-register evidence and confirmed the current source file exists. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. No source serializer edit was made; migration/build/runtime proof is deferred until a layout change is explicitly approved.","POST-BATCH-J-01A","2026-06-14T12:11:35.4567553-05:00","Historical path=Data/Scripts/Custom/Champions/Items/PlagueBeastInnard.cs; backlog risk category=VersionHandling; write count=1; read count=1. POST-BATCH-J is triage only; no serialized layout edit is approved by this row."
"POST-BATCH-J","PBJ-0006","RB-00069","P10-F00069","P1","Ready","Save compatibility","Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastInnard.cs","Data/Scripts/Custom/Champions/Items/PlagueBeastInnard.cs","Server.Items.PlagueBeastInnard","VersionHandling","Serialize:L59;Deserialize:L66;SerialCtor:L56; class=Server.Items.PlagueBeastInnard; category=VersionHandling","Serialize:L59;Deserialize:L66;SerialCtor:L56","NoVersionFound","AlignedByCountAndKnownTypes","BaseCallsFirst","True","ExactFileClass","Save","Confirm current save version write/read and add guarded older-version handling where needed.","IntentionalLegacy","Current source file exists at Data/Scripts/Custom/Champions/Items/PlagueBeastInnard.cs; match=ExactFileClass; serializer evidence=Serialize:L59;Deserialize:L66;SerialCtor:L56; class=Server.Items.PlagueBeastInnard; kind=Item; HasSerialConstructor=True; BaseCallStatus=BaseCallsFirst; VersionHandling=NoVersionFound; FieldAlignment=AlignedByCountAndKnownTypes; MoveRenameRisk=NamespaceOrTypeRenameDanger; ReviewStatus=NeedsSourceReview; ReviewReasons=NoVersionFound","No source change. Preserve the existing fixed-format legacy serializer; adding a version field would be a save-layout migration and is not approved in this triage batch.","Reviewed against current source-derived serialization-register evidence and confirmed the current source file exists. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. No source serializer edit was made; migration/build/runtime proof is deferred until a layout change is explicitly approved.","POST-BATCH-J-01A","2026-06-14T12:11:35.4567553-05:00","Historical path=Data/Scripts/Custom/Champions/Items/PlagueBeastInnard.cs; backlog risk category=VersionHandling; write count=1; read count=1. POST-BATCH-J is triage only; no serialized layout edit is approved by this row."
"POST-BATCH-J","PBJ-0007","RB-00070","P10-F00070","P1","Ready","Save compatibility","Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastMutationCore.cs","Data/Scripts/Custom/Champions/Items/PlagueBeastMutationCore.cs","Server.Items.PlagueBeastMutationCore","VersionHandling","Serialize:L64;Deserialize:L73;SerialCtor:L61; class=Server.Items.PlagueBeastMutationCore; category=VersionHandling","Serialize:L64;Deserialize:L73;SerialCtor:L61","NoVersionFound","AlignedByCountAndKnownTypes","BaseCallsFirst","True","ExactFileClass","Save","Confirm current save version write/read and add guarded older-version handling where needed.","IntentionalLegacy","Current source file exists at Data/Scripts/Custom/Champions/Items/PlagueBeastMutationCore.cs; match=ExactFileClass; serializer evidence=Serialize:L64;Deserialize:L73;SerialCtor:L61; class=Server.Items.PlagueBeastMutationCore; kind=Item; HasSerialConstructor=True; BaseCallStatus=BaseCallsFirst; VersionHandling=NoVersionFound; FieldAlignment=AlignedByCountAndKnownTypes; MoveRenameRisk=NamespaceOrTypeRenameDanger; ReviewStatus=NeedsSourceReview; ReviewReasons=NoVersionFound","No source change. Preserve the existing fixed-format legacy serializer; adding a version field would be a save-layout migration and is not approved in this triage batch.","Reviewed against current source-derived serialization-register evidence and confirmed the current source file exists. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. No source serializer edit was made; migration/build/runtime proof is deferred until a layout change is explicitly approved.","POST-BATCH-J-01A","2026-06-14T12:11:35.4567553-05:00","Historical path=Data/Scripts/Custom/Champions/Items/PlagueBeastMutationCore.cs; backlog risk category=VersionHandling; write count=2; read count=2. POST-BATCH-J is triage only; no serialized layout edit is approved by this row."
"POST-BATCH-J","PBJ-0008","RB-00071","P10-F00071","P1","Ready","Save compatibility","Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs","Server.Items.PlagueBeastBackupOrgan","VersionHandling","Serialize:L458;Deserialize:L467;SerialCtor:L455; class=Server.Items.PlagueBeastBackupOrgan; category=VersionHandling","Serialize:L458;Deserialize:L467;SerialCtor:L455","NoVersionFound","AlignedByCountAndKnownTypes","BaseCallsFirst","True","ExactFileClass","Save","Confirm current save version write/read and add guarded older-version handling where needed.","IntentionalLegacy","Current source file exists at Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs; match=ExactFileClass; serializer evidence=Serialize:L458;Deserialize:L467;SerialCtor:L455; class=Server.Items.PlagueBeastBackupOrgan; kind=Item; HasSerialConstructor=True; BaseCallStatus=BaseCallsFirst; VersionHandling=NoVersionFound; FieldAlignment=AlignedByCountAndKnownTypes; MoveRenameRisk=NamespaceOrTypeRenameDanger; ReviewStatus=NeedsSourceReview; ReviewReasons=NoVersionFound","No source change. Preserve the existing fixed-format legacy serializer; adding a version field would be a save-layout migration and is not approved in this triage batch.","Reviewed against current source-derived serialization-register evidence and confirmed the current source file exists. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. No source serializer edit was made; migration/build/runtime proof is deferred until a layout change is explicitly approved.","POST-BATCH-J-01A","2026-06-14T12:11:35.4567553-05:00","Historical path=Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs; backlog risk category=VersionHandling; write count=2; read count=2. POST-BATCH-J is triage only; no serialized layout edit is approved by this row."
"POST-BATCH-J","PBJ-0009","RB-00072","P10-F00072","P1","Ready","Save compatibility","Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs","Server.Items.PlagueBeastMaidenOrgan","VersionHandling","Serialize:L175;Deserialize:L182;SerialCtor:L172; class=Server.Items.PlagueBeastMaidenOrgan; category=VersionHandling","Serialize:L175;Deserialize:L182;SerialCtor:L172","NoVersionFound","AlignedByCountAndKnownTypes","BaseCallsFirst","True","ExactFileClass","Save","Confirm current save version write/read and add guarded older-version handling where needed.","IntentionalLegacy","Current source file exists at Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs; match=ExactFileClass; serializer evidence=Serialize:L175;Deserialize:L182;SerialCtor:L172; class=Server.Items.PlagueBeastMaidenOrgan; kind=Item; HasSerialConstructor=True; BaseCallStatus=BaseCallsFirst; VersionHandling=NoVersionFound; FieldAlignment=AlignedByCountAndKnownTypes; MoveRenameRisk=NamespaceOrTypeRenameDanger; ReviewStatus=NeedsSourceReview; ReviewReasons=NoVersionFound","No source change. Preserve the existing fixed-format legacy serializer; adding a version field would be a save-layout migration and is not approved in this triage batch.","Reviewed against current source-derived serialization-register evidence and confirmed the current source file exists. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. No source serializer edit was made; migration/build/runtime proof is deferred until a layout change is explicitly approved.","POST-BATCH-J-01A","2026-06-14T12:11:35.4567553-05:00","Historical path=Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs; backlog risk category=VersionHandling; write count=1; read count=1. POST-BATCH-J is triage only; no serialized layout edit is approved by this row."
"POST-BATCH-J","PBJ-0010","RB-00073","P10-F00073","P1","Ready","Save compatibility","Custom:Champions","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs","Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs","Server.Items.PlagueBeastMainOrgan","VersionHandling","Serialize:L577;Deserialize:L586;SerialCtor:L574; class=Server.Items.PlagueBeastMainOrgan; category=VersionHandling","Serialize:L577;Deserialize:L586;SerialCtor:L574","NoVersionFound","AlignedByCountAndKnownTypes","BaseCallsFirst","True","ExactFileClass","Save","Confirm current save version write/read and add guarded older-version handling where needed.","IntentionalLegacy","Current source file exists at Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs; match=ExactFileClass; serializer evidence=Serialize:L577;Deserialize:L586;SerialCtor:L574; class=Server.Items.PlagueBeastMainOrgan; kind=Item; HasSerialConstructor=True; BaseCallStatus=BaseCallsFirst; VersionHandling=NoVersionFound; FieldAlignment=AlignedByCountAndKnownTypes; MoveRenameRisk=NamespaceOrTypeRenameDanger; ReviewStatus=NeedsSourceReview; ReviewReasons=NoVersionFound","No source change. Preserve the existing fixed-format legacy serializer; adding a version field would be a save-layout migration and is not approved in this triage batch.","Reviewed against current source-derived serialization-register evidence and confirmed the current source file exists. git diff --check: Passed with expected LF-to-CRLF working-copy warnings and no whitespace errors. No source serializer edit was made; migration/build/runtime proof is deferred until a layout change is explicitly approved.","POST-BATCH-J-01A","2026-06-14T12:11:35.4567553-05:00","Historical path=Data/Scripts/Custom/Champions/Items/PlagueBeastOrgans.cs; backlog risk category=VersionHandling; write count=2; read count=2. POST-BATCH-J is triage only; no serialized layout edit is approved by this row."
