"BatchId","ReadinessRowId","BacklogId","SourceId","PreviousPostAuditBatch","PreviousReviewRowId","PreviousActiveStatus","ReadinessStatus","ImplementationLane","Subqueue","Category","System","Files","FileProof","FileProofStatus","PathResolution","PreviousReviewArtifact","SourceEvidence","RiskGate","NextAction","RequiredVerification","ReviewedAt","Notes"
"POST-BATCH-N","PBN-0001","RB-06682","P10-F06682","POST-BATCH-F","PBF-421","QueuedSourceFollowUp","DocsOnly","POST-BATCH-N-DOCS-SOURCE-TRACE","Canonical/support documentation source-trace queue","Documentation contradictions","AI Overhaul","docs/wiki/Creature_AI_Core.md","docs/wiki/Creature_AI_Core.md=Exists","CurrentPathConfirmed","OriginalPathCurrent","docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv","POST-BATCH-N lane=POST-BATCH-N-DOCS-SOURCE-TRACE; FileProofStatus=CurrentPathConfirmed; Documentation truth after POST-BATCH-F: SourceTracePresent=No; MissingClaims=Missing Source Trace section.; StaleClaims=Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","Documentation evidence is not source-change approval; source behavior changes require a separate reviewed source batch.","Refresh the referenced doc with exact source traces or retire/alias stale claims after source verification.","Markdown path/link/source-trace checks plus git diff --check; no source build unless source files change.","2026-06-14T13:37:35.8427499-05:00","PreviousAction=Refresh the referenced doc with exact source traces or retire/alias stale claims after source verification. PreviousNotes=PreviousPostAuditBatch=POST-BATCH-F; PreviousReviewRowId=PBF-421; PreviousActiveStatus=QueuedSourceFollowUp; PreviousReviewArtifact=docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv. RiskGate=Documentation evidence is not source-change approval; source behavior changes require a separate reviewed source batch. RequiredVerification=Markdown path/link/source-trace checks plus git diff --check; no source build unless source files change."
"POST-BATCH-N","PBN-0002","RB-06666","P10-F06666","POST-BATCH-F","PBF-405","QueuedSourceFollowUp","DocsOnly","POST-BATCH-N-DOCS-SOURCE-TRACE","Canonical/support documentation source-trace queue","Documentation contradictions","Boats","docs/wiki/Boat_Core_Mechanics.md","docs/wiki/Boat_Core_Mechanics.md=Exists","CurrentPathConfirmed","OriginalPathCurrent","docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv","POST-BATCH-N lane=POST-BATCH-N-DOCS-SOURCE-TRACE; FileProofStatus=CurrentPathConfirmed; Documentation truth after POST-BATCH-F: SourceTracePresent=No; MissingClaims=Missing Source Trace section.; StaleClaims=","Documentation evidence is not source-change approval; source behavior changes require a separate reviewed source batch.","Refresh the referenced doc with exact source traces or retire/alias stale claims after source verification.","Markdown path/link/source-trace checks plus git diff --check; no source build unless source files change.","2026-06-14T13:37:35.8427499-05:00","PreviousAction=Refresh the referenced doc with exact source traces or retire/alias stale claims after source verification. PreviousNotes=PreviousPostAuditBatch=POST-BATCH-F; PreviousReviewRowId=PBF-405; PreviousActiveStatus=QueuedSourceFollowUp; PreviousReviewArtifact=docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv. RiskGate=Documentation evidence is not source-change approval; source behavior changes require a separate reviewed source batch. RequiredVerification=Markdown path/link/source-trace checks plus git diff --check; no source build unless source files change."
"POST-BATCH-N","PBN-0003","RB-06667","P10-F06667","POST-BATCH-F","PBF-406","QueuedSourceFollowUp","DocsOnly","POST-BATCH-N-DOCS-SOURCE-TRACE","Canonical/support documentation source-trace queue","Documentation contradictions","Boats","docs/wiki/boat-navigation-control.md","docs/wiki/boat-navigation-control.md=Exists","CurrentPathConfirmed","OriginalPathCurrent","docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv","POST-BATCH-N lane=POST-BATCH-N-DOCS-SOURCE-TRACE; FileProofStatus=CurrentPathConfirmed; Documentation truth after POST-BATCH-F: SourceTracePresent=No; MissingClaims=Missing Source Trace section.; StaleClaims=","Documentation evidence is not source-change approval; source behavior changes require a separate reviewed source batch.","Refresh the referenced doc with exact source traces or retire/alias stale claims after source verification.","Markdown path/link/source-trace checks plus git diff --check; no source build unless source files change.","2026-06-14T13:37:35.8427499-05:00","PreviousAction=Refresh the referenced doc with exact source traces or retire/alias stale claims after source verification. PreviousNotes=PreviousPostAuditBatch=POST-BATCH-F; PreviousReviewRowId=PBF-406; PreviousActiveStatus=QueuedSourceFollowUp; PreviousReviewArtifact=docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv. RiskGate=Documentation evidence is not source-change approval; source behavior changes require a separate reviewed source batch. RequiredVerification=Markdown path/link/source-trace checks plus git diff --check; no source build unless source files change."
"POST-BATCH-N","PBN-0004","RB-06732","P10-F06732","POST-BATCH-F","PBF-471","QueuedSourceFollowUp","DocsOnly","POST-BATCH-N-DOCS-SOURCE-TRACE","Canonical/support documentation source-trace queue","Documentation contradictions","Boats","docs/wiki/NPC_Shipwright_Sailing_Guide.md","docs/wiki/NPC_Shipwright_Sailing_Guide.md=Exists","CurrentPathConfirmed","OriginalPathCurrent","docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv","POST-BATCH-N lane=POST-BATCH-N-DOCS-SOURCE-TRACE; FileProofStatus=CurrentPathConfirmed; Documentation truth after POST-BATCH-F: SourceTracePresent=No; MissingClaims=Missing Source Trace section.; StaleClaims=","Documentation evidence is not source-change approval; source behavior changes require a separate reviewed source batch.","Refresh the referenced doc with exact source traces or retire/alias stale claims after source verification.","Markdown path/link/source-trace checks plus git diff --check; no source build unless source files change.","2026-06-14T13:37:35.8427499-05:00","PreviousAction=Refresh the referenced doc with exact source traces or retire/alias stale claims after source verification. PreviousNotes=PreviousPostAuditBatch=POST-BATCH-F; PreviousReviewRowId=PBF-471; PreviousActiveStatus=QueuedSourceFollowUp; PreviousReviewArtifact=docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv. RiskGate=Documentation evidence is not source-change approval; source behavior changes require a separate reviewed source batch. RequiredVerification=Markdown path/link/source-trace checks plus git diff --check; no source build unless source files change."
"POST-BATCH-N","PBN-0005","RB-06768","P10-F06768","POST-BATCH-F","PBF-507","QueuedSourceFollowUp","DocsOnly","POST-BATCH-N-DOCS-SOURCE-TRACE","Canonical/support documentation source-trace queue","Documentation contradictions","Boats","docs/wiki/Shipwright_Sailing_Tutorial.md","docs/wiki/Shipwright_Sailing_Tutorial.md=Exists","CurrentPathConfirmed","OriginalPathCurrent","docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv","POST-BATCH-N lane=POST-BATCH-N-DOCS-SOURCE-TRACE; FileProofStatus=CurrentPathConfirmed; Documentation truth after POST-BATCH-F: SourceTracePresent=No; MissingClaims=Missing Source Trace section.; StaleClaims=","Documentation evidence is not source-change approval; source behavior changes require a separate reviewed source batch.","Refresh the referenced doc with exact source traces or retire/alias stale claims after source verification.","Markdown path/link/source-trace checks plus git diff --check; no source build unless source files change.","2026-06-14T13:37:35.8427499-05:00","PreviousAction=Refresh the referenced doc with exact source traces or retire/alias stale claims after source verification. PreviousNotes=PreviousPostAuditBatch=POST-BATCH-F; PreviousReviewRowId=PBF-507; PreviousActiveStatus=QueuedSourceFollowUp; PreviousReviewArtifact=docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv. RiskGate=Documentation evidence is not source-change approval; source behavior changes require a separate reviewed source batch. RequiredVerification=Markdown path/link/source-trace checks plus git diff --check; no source build unless source files change."
"POST-BATCH-N","PBN-0006","RB-06655","P10-F06655","POST-BATCH-F","PBF-394","QueuedSourceFollowUp","DocsOnly","POST-BATCH-N-DOCS-SOURCE-TRACE","Canonical/support documentation source-trace queue","Documentation contradictions","Bulk Orders","docs/wiki/Animal_Shape_Stones.md","docs/wiki/Animal_Shape_Stones.md=Exists","CurrentPathConfirmed","OriginalPathCurrent","docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv","POST-BATCH-N lane=POST-BATCH-N-DOCS-SOURCE-TRACE; FileProofStatus=CurrentPathConfirmed; Documentation truth after POST-BATCH-F: SourceTracePresent=No; MissingClaims=Missing Source Trace section.; StaleClaims=","Documentation evidence is not source-change approval; source behavior changes require a separate reviewed source batch.","Refresh the referenced doc with exact source traces or retire/alias stale claims after source verification.","Markdown path/link/source-trace checks plus git diff --check; no source build unless source files change.","2026-06-14T13:37:35.8427499-05:00","PreviousAction=Refresh the referenced doc with exact source traces or retire/alias stale claims after source verification. PreviousNotes=PreviousPostAuditBatch=POST-BATCH-F; PreviousReviewRowId=PBF-394; PreviousActiveStatus=QueuedSourceFollowUp; PreviousReviewArtifact=docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv. RiskGate=Documentation evidence is not source-change approval; source behavior changes require a separate reviewed source batch. RequiredVerification=Markdown path/link/source-trace checks plus git diff --check; no source build unless source files change."
"POST-BATCH-N","PBN-0007","RB-06670","P10-F06670","POST-BATCH-F","PBF-409","QueuedSourceFollowUp","DocsOnly","POST-BATCH-N-DOCS-SOURCE-TRACE","Canonical/support documentation source-trace queue","Documentation contradictions","Bulk Orders","docs/wiki/Bulk_Order_System.md","docs/wiki/Bulk_Order_System.md=Exists","CurrentPathConfirmed","OriginalPathCurrent","docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv","POST-BATCH-N lane=POST-BATCH-N-DOCS-SOURCE-TRACE; FileProofStatus=CurrentPathConfirmed; Documentation truth after POST-BATCH-F: SourceTracePresent=No; MissingClaims=Missing Source Trace section.; No existing source files were extracted from the page.; StaleClaims=","Documentation evidence is not source-change approval; source behavior changes require a separate reviewed source batch.","Refresh the referenced doc with exact source traces or retire/alias stale claims after source verification.","Markdown path/link/source-trace checks plus git diff --check; no source build unless source files change.","2026-06-14T13:37:35.8427499-05:00","PreviousAction=Refresh the referenced doc with exact source traces or retire/alias stale claims after source verification. PreviousNotes=PreviousPostAuditBatch=POST-BATCH-F; PreviousReviewRowId=PBF-409; PreviousActiveStatus=QueuedSourceFollowUp; PreviousReviewArtifact=docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv. RiskGate=Documentation evidence is not source-change approval; source behavior changes require a separate reviewed source batch. RequiredVerification=Markdown path/link/source-trace checks plus git diff --check; no source build unless source files change."
"POST-BATCH-N","PBN-0008","RB-06784","P10-F06784","POST-BATCH-F","PBF-523","QueuedSourceFollowUp","DocsOnly","POST-BATCH-N-DOCS-SOURCE-TRACE","Canonical/support documentation source-trace queue","Documentation contradictions","Bulk Orders","docs/wiki/Taxidermy.md","docs/wiki/Taxidermy.md=Exists","CurrentPathConfirmed","OriginalPathCurrent","docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv","POST-BATCH-N lane=POST-BATCH-N-DOCS-SOURCE-TRACE; FileProofStatus=CurrentPathConfirmed; Documentation truth after POST-BATCH-F: SourceTracePresent=No; MissingClaims=Missing Source Trace section.; StaleClaims=","Documentation evidence is not source-change approval; source behavior changes require a separate reviewed source batch.","Refresh the referenced doc with exact source traces or retire/alias stale claims after source verification.","Markdown path/link/source-trace checks plus git diff --check; no source build unless source files change.","2026-06-14T13:37:35.8427499-05:00","PreviousAction=Refresh the referenced doc with exact source traces or retire/alias stale claims after source verification. PreviousNotes=PreviousPostAuditBatch=POST-BATCH-F; PreviousReviewRowId=PBF-523; PreviousActiveStatus=QueuedSourceFollowUp; PreviousReviewArtifact=docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv. RiskGate=Documentation evidence is not source-change approval; source behavior changes require a separate reviewed source batch. RequiredVerification=Markdown path/link/source-trace checks plus git diff --check; no source build unless source files change."
"POST-BATCH-N","PBN-0009","RB-06672","P10-F06672","POST-BATCH-F","PBF-411","QueuedSourceFollowUp","DocsOnly","POST-BATCH-N-DOCS-SOURCE-TRACE","Canonical/support documentation source-trace queue","Documentation contradictions","Champions","docs/wiki/Champion_Spawns.md","docs/wiki/Champion_Spawns.md=Exists","CurrentPathConfirmed","OriginalPathCurrent","docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv","POST-BATCH-N lane=POST-BATCH-N-DOCS-SOURCE-TRACE; FileProofStatus=CurrentPathConfirmed; Documentation truth after POST-BATCH-F: SourceTracePresent=No; MissingClaims=Missing Source Trace section.; No existing source files were extracted from the page.; StaleClaims=Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","Documentation evidence is not source-change approval; source behavior changes require a separate reviewed source batch.","Refresh the referenced doc with exact source traces or retire/alias stale claims after source verification.","Markdown path/link/source-trace checks plus git diff --check; no source build unless source files change.","2026-06-14T13:37:35.8427499-05:00","PreviousAction=Refresh the referenced doc with exact source traces or retire/alias stale claims after source verification. PreviousNotes=PreviousPostAuditBatch=POST-BATCH-F; PreviousReviewRowId=PBF-411; PreviousActiveStatus=QueuedSourceFollowUp; PreviousReviewArtifact=docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv. RiskGate=Documentation evidence is not source-change approval; source behavior changes require a separate reviewed source batch. RequiredVerification=Markdown path/link/source-trace checks plus git diff --check; no source build unless source files change."
"POST-BATCH-N","PBN-0010","RB-06674","P10-F06674","POST-BATCH-F","PBF-413","QueuedSourceFollowUp","DocsOnly","POST-BATCH-N-DOCS-SOURCE-TRACE","Canonical/support documentation source-trace queue","Documentation contradictions","Character Level","docs/wiki/Character_Level_Recon_Report.md","docs/wiki/Character_Level_Recon_Report.md=Exists","CurrentPathConfirmed","OriginalPathCurrent","docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv","POST-BATCH-N lane=POST-BATCH-N-DOCS-SOURCE-TRACE; FileProofStatus=CurrentPathConfirmed; Documentation truth after POST-BATCH-F: SourceTracePresent=No; MissingClaims=Missing Source Trace section.; No existing source files were extracted from the page.; StaleClaims=","Documentation evidence is not source-change approval; source behavior changes require a separate reviewed source batch.","Refresh the referenced doc with exact source traces or retire/alias stale claims after source verification.","Markdown path/link/source-trace checks plus git diff --check; no source build unless source files change.","2026-06-14T13:37:35.8427499-05:00","PreviousAction=Refresh the referenced doc with exact source traces or retire/alias stale claims after source verification. PreviousNotes=PreviousPostAuditBatch=POST-BATCH-F; PreviousReviewRowId=PBF-413; PreviousActiveStatus=QueuedSourceFollowUp; PreviousReviewArtifact=docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv. RiskGate=Documentation evidence is not source-change approval; source behavior changes require a separate reviewed source batch. RequiredVerification=Markdown path/link/source-trace checks plus git diff --check; no source build unless source files change."
