"BatchId","ReviewRowId","BacklogId","ReadinessRowId","SourceId","PreviousPostAuditBatch","PreviousReviewRowId","Category","System","Files","FileProofStatus","PathResolution","Marker","Line","SourceLine","GuardList","Decision","ReviewClass","Action","Verification","SourceEvidence","ReviewedAt","Notes"
"POST-BATCH-O","PBO-0001","RB-03258","PBN-0558","P10-F03258","POST-BATCH-K","PBK-1289","Gump guards","Government","Data/Scripts/Custom/Government System/Prompts/CitizenTitleChangePrompt.cs","CurrentPathConfirmed","OriginalPathCurrent","OnResponse","29","public override void OnResponse(Mobile from, string text)","BoundsGuard","Fixed","GuardedCallbackFixed","Added response-time guards for null packet state, null/deleted responders, stale stored state, deleted targets, malformed text/index input, or equivalent callback hazards as applicable to this file.","Passed: review CSV rows=235; active overlay POST-BATCH-O rows=235; unreviewed lane rows=0; queued OnResponse guard scan has only Data/System/Source/Menus/IMenu.cs interface signature; rename-prompt guards=25; git diff --check passed with expected LF-to-CRLF warnings only; initial sandboxed MSBuild hit user-profile SDK access denial, rerun with escalation passed Data/System/Source/Server.csproj Debug|x86 with 0 warnings and 0 errors; .\ConficturaServer.exe -compileonly -nocache passed with compile-only verification completed successfully.","POST-BATCH-N lane=POST-BATCH-N-GUMP-GUARD-SOURCE-BATCH; FileProofStatus=CurrentPathConfirmed; CurrentFile=Data/Scripts/Custom/Government System/Prompts/CitizenTitleChangePrompt.cs; Line=29; SourceLine=public override void OnResponse(Mobile from, string text); PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Gump; GuardList=BoundsGuard;StateGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Gump;Marker=OnResponse;Access=Internal;Risk=High;Guards=BoundsGuard;StateGuard","2026-06-14T14:37:02.3704329-05:00","Public APIs, namespaces, serialized layout, file location, command names, and button IDs were preserved."
"POST-BATCH-O","PBO-0002","RB-03264","PBN-0559","P10-F03264","POST-BATCH-K","PBK-1295","Gump guards","Government","Data/Scripts/Custom/Government System/Prompts/CityTreasuryDepoistPrompt.cs","CurrentPathConfirmed","OriginalPathCurrent","OnResponse","35","public override void OnResponse(Mobile from, string text)","BoundsGuard","Fixed","GuardedCallbackFixed","Added response-time guards for null packet state, null/deleted responders, stale stored state, deleted targets, malformed text/index input, or equivalent callback hazards as applicable to this file.","Passed: review CSV rows=235; active overlay POST-BATCH-O rows=235; unreviewed lane rows=0; queued OnResponse guard scan has only Data/System/Source/Menus/IMenu.cs interface signature; rename-prompt guards=25; git diff --check passed with expected LF-to-CRLF warnings only; initial sandboxed MSBuild hit user-profile SDK access denial, rerun with escalation passed Data/System/Source/Server.csproj Debug|x86 with 0 warnings and 0 errors; .\ConficturaServer.exe -compileonly -nocache passed with compile-only verification completed successfully.","POST-BATCH-N lane=POST-BATCH-N-GUMP-GUARD-SOURCE-BATCH; FileProofStatus=CurrentPathConfirmed; CurrentFile=Data/Scripts/Custom/Government System/Prompts/CityTreasuryDepoistPrompt.cs; Line=35; SourceLine=public override void OnResponse(Mobile from, string text); PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Gump; GuardList=BoundsGuard;StateGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Gump;Marker=OnResponse;Access=Internal;Risk=High;Guards=BoundsGuard;StateGuard","2026-06-14T14:37:02.3704329-05:00","Public APIs, namespaces, serialized layout, file location, command names, and button IDs were preserved."
"POST-BATCH-O","PBO-0003","RB-03265","PBN-0560","P10-F03265","POST-BATCH-K","PBK-1296","Gump guards","Government","Data/Scripts/Custom/Government System/Prompts/CityURLPrompt.cs","CurrentPathConfirmed","OriginalPathCurrent","OnResponse","26","public override void OnResponse(Mobile from, string text)","BoundsGuard","Fixed","GuardedCallbackFixed","Added response-time guards for null packet state, null/deleted responders, stale stored state, deleted targets, malformed text/index input, or equivalent callback hazards as applicable to this file.","Passed: review CSV rows=235; active overlay POST-BATCH-O rows=235; unreviewed lane rows=0; queued OnResponse guard scan has only Data/System/Source/Menus/IMenu.cs interface signature; rename-prompt guards=25; git diff --check passed with expected LF-to-CRLF warnings only; initial sandboxed MSBuild hit user-profile SDK access denial, rerun with escalation passed Data/System/Source/Server.csproj Debug|x86 with 0 warnings and 0 errors; .\ConficturaServer.exe -compileonly -nocache passed with compile-only verification completed successfully.","POST-BATCH-N lane=POST-BATCH-N-GUMP-GUARD-SOURCE-BATCH; FileProofStatus=CurrentPathConfirmed; CurrentFile=Data/Scripts/Custom/Government System/Prompts/CityURLPrompt.cs; Line=26; SourceLine=public override void OnResponse(Mobile from, string text); PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Gump; GuardList=BoundsGuard;StateGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Gump;Marker=OnResponse;Access=Internal;Risk=High;Guards=BoundsGuard;StateGuard","2026-06-14T14:37:02.3704329-05:00","Public APIs, namespaces, serialized layout, file location, command names, and button IDs were preserved."
"POST-BATCH-O","PBO-0004","RB-03503","PBN-0561","P10-F03503","POST-BATCH-K","PBK-1520","Gump guards","Government","Data/Scripts/Custom/Government System/Commands/AdminAdd.cs","CurrentPathConfirmed","OriginalPathCurrent","SendGump","27","e.Mobile.SendGump(new AdminAddGump(0, e.Mobile, new ArrayList(), new ArrayList()))","AccessGuard","SafeNoChange","SendGumpOpenSiteReviewed","Reviewed as a gump open-site row; POST-BATCH-O did not change open-site behavior because response/callback safety is handled at the callback implementation.","Passed: review CSV rows=235; active overlay POST-BATCH-O rows=235; unreviewed lane rows=0; queued OnResponse guard scan has only Data/System/Source/Menus/IMenu.cs interface signature; rename-prompt guards=25; git diff --check passed with expected LF-to-CRLF warnings only; initial sandboxed MSBuild hit user-profile SDK access denial, rerun with escalation passed Data/System/Source/Server.csproj Debug|x86 with 0 warnings and 0 errors; .\ConficturaServer.exe -compileonly -nocache passed with compile-only verification completed successfully.","POST-BATCH-N lane=POST-BATCH-N-GUMP-GUARD-SOURCE-BATCH; FileProofStatus=CurrentPathConfirmed; CurrentFile=Data/Scripts/Custom/Government System/Commands/AdminAdd.cs; Line=27; SourceLine=e.Mobile.SendGump(new AdminAddGump(0, e.Mobile, new ArrayList(), new ArrayList()));; PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Gump; GuardList=AccessGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Gump;Marker=SendGump;Access=Internal;Risk=High;Guards=AccessGuard","2026-06-14T14:37:02.3704329-05:00","No command semantics, button IDs, target gump construction, or access policy changed."
"POST-BATCH-O","PBO-0005","RB-03504","PBN-0562","P10-F03504","POST-BATCH-K","PBK-1521","Gump guards","Government","Data/Scripts/Custom/Government System/Commands/FindCities.cs","CurrentPathConfirmed","OriginalPathCurrent","SendGump","27","e.Mobile.SendGump(new FindCitiesGump(0, null, null))","AccessGuard","SafeNoChange","SendGumpOpenSiteReviewed","Reviewed as a gump open-site row; POST-BATCH-O did not change open-site behavior because response/callback safety is handled at the callback implementation.","Passed: review CSV rows=235; active overlay POST-BATCH-O rows=235; unreviewed lane rows=0; queued OnResponse guard scan has only Data/System/Source/Menus/IMenu.cs interface signature; rename-prompt guards=25; git diff --check passed with expected LF-to-CRLF warnings only; initial sandboxed MSBuild hit user-profile SDK access denial, rerun with escalation passed Data/System/Source/Server.csproj Debug|x86 with 0 warnings and 0 errors; .\ConficturaServer.exe -compileonly -nocache passed with compile-only verification completed successfully.","POST-BATCH-N lane=POST-BATCH-N-GUMP-GUARD-SOURCE-BATCH; FileProofStatus=CurrentPathConfirmed; CurrentFile=Data/Scripts/Custom/Government System/Commands/FindCities.cs; Line=27; SourceLine=e.Mobile.SendGump(new FindCitiesGump(0, null, null));; PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Gump; GuardList=AccessGuard;NullGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Gump;Marker=SendGump;Access=Internal;Risk=High;Guards=AccessGuard;NullGuard","2026-06-14T14:37:02.3704329-05:00","No command semantics, button IDs, target gump construction, or access policy changed."
"POST-BATCH-O","PBO-0006","RB-03505","PBN-0563","P10-F03505","POST-BATCH-K","PBK-1522","Gump guards","Government","Data/Scripts/Custom/Government System/Commands/GovHelp.cs","CurrentPathConfirmed","OriginalPathCurrent","SendGump","27","e.Mobile.SendGump(new GovHelpGump())","AccessGuard","SafeNoChange","SendGumpOpenSiteReviewed","Reviewed as a gump open-site row; POST-BATCH-O did not change open-site behavior because response/callback safety is handled at the callback implementation.","Passed: review CSV rows=235; active overlay POST-BATCH-O rows=235; unreviewed lane rows=0; queued OnResponse guard scan has only Data/System/Source/Menus/IMenu.cs interface signature; rename-prompt guards=25; git diff --check passed with expected LF-to-CRLF warnings only; initial sandboxed MSBuild hit user-profile SDK access denial, rerun with escalation passed Data/System/Source/Server.csproj Debug|x86 with 0 warnings and 0 errors; .\ConficturaServer.exe -compileonly -nocache passed with compile-only verification completed successfully.","POST-BATCH-N lane=POST-BATCH-N-GUMP-GUARD-SOURCE-BATCH; FileProofStatus=CurrentPathConfirmed; CurrentFile=Data/Scripts/Custom/Government System/Commands/GovHelp.cs; Line=27; SourceLine=e.Mobile.SendGump(new GovHelpGump());; PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Gump; GuardList=AccessGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Gump;Marker=SendGump;Access=Internal;Risk=High;Guards=AccessGuard","2026-06-14T14:37:02.3704329-05:00","No command semantics, button IDs, target gump construction, or access policy changed."
"POST-BATCH-O","PBO-0007","RB-03510","PBN-0564","P10-F03510","POST-BATCH-K","PBK-1527","Gump guards","Government","Data/Scripts/Custom/Government System/Prompts/CitizenTitleChangePrompt.cs","CurrentPathConfirmed","OriginalPathCurrent","SendGump","26","m_Mayor.SendGump(new CityManagementGump(m_Stone, m_Mayor))","BoundsGuard","SafeNoChange","SendGumpOpenSiteReviewed","Reviewed as a gump open-site row; POST-BATCH-O did not change open-site behavior because response/callback safety is handled at the callback implementation.","Passed: review CSV rows=235; active overlay POST-BATCH-O rows=235; unreviewed lane rows=0; queued OnResponse guard scan has only Data/System/Source/Menus/IMenu.cs interface signature; rename-prompt guards=25; git diff --check passed with expected LF-to-CRLF warnings only; initial sandboxed MSBuild hit user-profile SDK access denial, rerun with escalation passed Data/System/Source/Server.csproj Debug|x86 with 0 warnings and 0 errors; .\ConficturaServer.exe -compileonly -nocache passed with compile-only verification completed successfully.","POST-BATCH-N lane=POST-BATCH-N-GUMP-GUARD-SOURCE-BATCH; FileProofStatus=CurrentPathConfirmed; CurrentFile=Data/Scripts/Custom/Government System/Prompts/CitizenTitleChangePrompt.cs; Line=26; SourceLine=m_Mayor.SendGump(new CityManagementGump(m_Stone, m_Mayor));; PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Gump; GuardList=BoundsGuard;StateGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Gump;Marker=SendGump;Access=Internal;Risk=High;Guards=BoundsGuard;StateGuard","2026-06-14T14:37:02.3704329-05:00","No command semantics, button IDs, target gump construction, or access policy changed."
"POST-BATCH-O","PBO-0008","RB-03511","PBN-0565","P10-F03511","POST-BATCH-K","PBK-1528","Gump guards","Government","Data/Scripts/Custom/Government System/Prompts/CitizenTitleChangePrompt.cs","CurrentPathConfirmed","OriginalPathCurrent","SendGump","46","m_Mayor.SendGump(new CityManagementGump(m_Stone, m_Mayor))","BoundsGuard","SafeNoChange","SendGumpOpenSiteReviewed","Reviewed as a gump open-site row; POST-BATCH-O did not change open-site behavior because response/callback safety is handled at the callback implementation.","Passed: review CSV rows=235; active overlay POST-BATCH-O rows=235; unreviewed lane rows=0; queued OnResponse guard scan has only Data/System/Source/Menus/IMenu.cs interface signature; rename-prompt guards=25; git diff --check passed with expected LF-to-CRLF warnings only; initial sandboxed MSBuild hit user-profile SDK access denial, rerun with escalation passed Data/System/Source/Server.csproj Debug|x86 with 0 warnings and 0 errors; .\ConficturaServer.exe -compileonly -nocache passed with compile-only verification completed successfully.","POST-BATCH-N lane=POST-BATCH-N-GUMP-GUARD-SOURCE-BATCH; FileProofStatus=CurrentPathConfirmed; CurrentFile=Data/Scripts/Custom/Government System/Prompts/CitizenTitleChangePrompt.cs; Line=46; SourceLine=m_Mayor.SendGump(new CityManagementGump(m_Stone, m_Mayor));; PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Gump; GuardList=BoundsGuard;StateGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Gump;Marker=SendGump;Access=Internal;Risk=High;Guards=BoundsGuard;StateGuard","2026-06-14T14:37:02.3704329-05:00","No command semantics, button IDs, target gump construction, or access policy changed."
"POST-BATCH-O","PBO-0009","RB-03522","PBN-0566","P10-F03522","POST-BATCH-K","PBK-1539","Gump guards","Government","Data/Scripts/Custom/Government System/Prompts/CityTreasuryDepoistPrompt.cs","CurrentPathConfirmed","OriginalPathCurrent","SendGump","26","m_From.SendGump(new CityManagementGump(m_Stone, m_From))","BoundsGuard","SafeNoChange","SendGumpOpenSiteReviewed","Reviewed as a gump open-site row; POST-BATCH-O did not change open-site behavior because response/callback safety is handled at the callback implementation.","Passed: review CSV rows=235; active overlay POST-BATCH-O rows=235; unreviewed lane rows=0; queued OnResponse guard scan has only Data/System/Source/Menus/IMenu.cs interface signature; rename-prompt guards=25; git diff --check passed with expected LF-to-CRLF warnings only; initial sandboxed MSBuild hit user-profile SDK access denial, rerun with escalation passed Data/System/Source/Server.csproj Debug|x86 with 0 warnings and 0 errors; .\ConficturaServer.exe -compileonly -nocache passed with compile-only verification completed successfully.","POST-BATCH-N lane=POST-BATCH-N-GUMP-GUARD-SOURCE-BATCH; FileProofStatus=CurrentPathConfirmed; CurrentFile=Data/Scripts/Custom/Government System/Prompts/CityTreasuryDepoistPrompt.cs; Line=26; SourceLine=m_From.SendGump(new CityManagementGump(m_Stone, m_From));; PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Gump; GuardList=BoundsGuard;StateGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Gump;Marker=SendGump;Access=Internal;Risk=High;Guards=BoundsGuard;StateGuard","2026-06-14T14:37:02.3704329-05:00","No command semantics, button IDs, target gump construction, or access policy changed."
"POST-BATCH-O","PBO-0010","RB-03523","PBN-0567","P10-F03523","POST-BATCH-K","PBK-1540","Gump guards","Government","Data/Scripts/Custom/Government System/Prompts/CityTreasuryDepoistPrompt.cs","CurrentPathConfirmed","OriginalPathCurrent","SendGump","31","m_From.SendGump(new CityCitizenGump(m_Stone, m_From))","BoundsGuard","SafeNoChange","SendGumpOpenSiteReviewed","Reviewed as a gump open-site row; POST-BATCH-O did not change open-site behavior because response/callback safety is handled at the callback implementation.","Passed: review CSV rows=235; active overlay POST-BATCH-O rows=235; unreviewed lane rows=0; queued OnResponse guard scan has only Data/System/Source/Menus/IMenu.cs interface signature; rename-prompt guards=25; git diff --check passed with expected LF-to-CRLF warnings only; initial sandboxed MSBuild hit user-profile SDK access denial, rerun with escalation passed Data/System/Source/Server.csproj Debug|x86 with 0 warnings and 0 errors; .\ConficturaServer.exe -compileonly -nocache passed with compile-only verification completed successfully.","POST-BATCH-N lane=POST-BATCH-N-GUMP-GUARD-SOURCE-BATCH; FileProofStatus=CurrentPathConfirmed; CurrentFile=Data/Scripts/Custom/Government System/Prompts/CityTreasuryDepoistPrompt.cs; Line=31; SourceLine=m_From.SendGump(new CityCitizenGump(m_Stone, m_From));; PathResolution=OriginalPathCurrent; MatchQuality=RuntimeHookMapFileLine; HookKind=Gump; GuardList=BoundsGuard;StateGuard; Access=; Command=; Handler=; DisabledEvidence=False; RuntimeHookMap=HookType=Gump;Marker=SendGump;Access=Internal;Risk=High;Guards=BoundsGuard;StateGuard","2026-06-14T14:37:02.3704329-05:00","No command semantics, button IDs, target gump construction, or access policy changed."
