2/27/2023 8:28:46 PM	46.1.255.163	3
3/17/2023 6:51:35 AM	171.109.144.239	3
3/17/2023 6:52:02 AM	171.109.144.239	4
4/15/2023 8:35:14 AM	73.73.90.169	3
4/15/2023 8:35:42 AM	73.73.90.169	4
5/6/2023 8:27:27 PM	70.189.46.208	3
5/16/2023 2:03:47 PM	172.59.104.30	3
5/16/2023 2:04:21 PM	172.59.104.30	4
6/1/2023 5:37:35 PM	87.110.45.164	3
6/8/2023 12:49:20 PM	70.189.46.208	3
6/20/2023 8:56:39 AM	57.134.124.117	3
6/20/2023 8:59:15 AM	57.134.124.117	4
6/30/2023 7:30:22 AM	213.134.180.133	3
7/5/2023 9:35:21 AM	87.110.136.148	3
7/5/2023 9:35:47 AM	87.110.136.148	4
7/5/2023 9:36:01 AM	87.110.136.148	5
7/16/2023 8:38:16 PM	192.168.16.100	3
7/16/2023 8:38:59 PM	192.168.16.100	4
7/16/2023 8:39:19 PM	192.168.16.100	5
8/27/2023 2:09:04 PM	70.189.46.208	3
8/27/2023 2:09:14 PM	70.189.46.208	4
8/27/2023 2:09:29 PM	70.189.46.208	5
8/27/2023 2:16:52 PM	70.189.46.208	6
