82,3112,5,Wealth of Knowledge,2989,blue,7
150,3142,5,Amazing Alehouse,3012,blue,7
168,1770,5,Barako Mine,7976,blue,7
218,1643,5,Village of Barako,7976,blue,7
220,1660,5,Greenblood Tavern,3011,blue,7
232,1722,5,The Orkish Garb,3024,blue,7
244,1712,5,The Steel & Ore,3016,blue,7
247,1732,5,The Traveling Ork,3020,blue,7
260,1628,5,Village of Barako,7976,blue,7
261,1377,5,Ancient Ork Graveyard,7976,blue,7
286,1692,5,The Mountain Vault,3084,blue,7
290,1643,5,The Shaman Sight,2990,blue,7
308,1764,5,Village of Barako,7977,blue,7
313,1699,5,Horse & Feed,2999,blue,7
340,1670,5,Village of Barako,7976,blue,7
686,851,5,A Glint of Ork,3009,blue,7
690,843,5,Golden Vault,3084,blue,7
694,990,5,Barn of Kurak,2999,blue,7
713,992,5,The Bloody Beef,2986,blue,7
719,914,5,Carved Ork Chairs,2991,blue,7
735,908,5,Herb Mixing Pot,3013,blue,7
744,953,5,Time For War,2984,blue,7
745,907,5,Mystical Troll,2990,blue,7
756,920,5,Wounds of Battle,2987,blue,7
756,971,5,The Green Sack,3019,blue,7
760,913,5,Break the Bread,2980,blue,7
765,845,5,Village of Kurak,7976,blue,7
768,1017,5,Village of Kurak,7977,blue,7
789,878,5,Sleepy Ogre Inn,2996,blue,7
817,990,5,Orkish War Store,3007,blue,7
819,985,5,Home & Sail,2998,blue,7
836,939,5,Village of Kurak,7976,blue,7
