2999,1060,1,Britain,town,blue,0
367,1421,1,Anchor Rock,town,blue,0
5919,2881,1,City of Dawn,town,blue,0
3717,1540,1,Death Gulch,town,blue,0
1656,1484,1,Devil Guard,town,blue,0
2119,276,1,Fawn,town,blue,0
4766,1196,1,Glacial Coast,town,blue,0
902,2063,1,Grey,town,blue,0
4326,1169,1,Iceclad Fisherman,town,blue,0
3212,2610,1,Montor,town,blue,0
806,728,1,Moon,town,blue,0
4514,1276,1,Mountain Crest,town,blue,0
1833,756,1,Stone Wall Inn,landmark,blue,0
2689,3285,1,Umbra,town,blue,0
2433,876,1,Yew,town,blue,0
4478,1837,1,Xardok's Castle,town,blue,0
878,593,1,Accursed Maze,dungeon,white,0
1427,1555,1,Chamber of Bane,dungeon,white,0
4695,1296,1,Coldhall Depths,dungeon,white,0
3186,2500,1,Dark Sanctum,dungeon,white,0
2661,3309,1,Dark Tombs,dungeon,white,0
5224,1804,1,Forgotten Tombs,dungeon,white,0
2366,933,1,Magma Vaults,dungeon,white,0
933,1973,1,Shrouded Grave,dungeon,white,0
1168,474,1,Ancient Pyramid,dungeonx,red,0
4505,1894,1,Black Blade Ruins,dungeonx,red,0
876,2703,1,Castle Exodus,dungeonx,red,0
253,3484,1,Cave of Banished Mages,dungeonx,red,0
198,2299,1,Caverns of Poseidon,dungeonx,red,0
3760,2041,1,Clues,dungeonx,red,0
3006,448,1,Dardin's Pit,dungeonx,red,0
1628,2561,1,Doom,dungeonx,red,0
3345,1650,1,Fires of Hell,dungeonx,red,0
3014,944,1,Forgotten Halls,dungeonx,red,0
4396,1263,1,Ice dungeonx 1,dungeonx,red,0
4459,1218,1,Ice dungeonx 2,dungeonx,red,0
4459,1266,1,Ice dungeonx 3,dungeonx,red,0
4628,1351,1,Ice dungeonx 4,dungeonx,red,0
4702,1209,1,Ice dungeonx 5,dungeonx,red,0
4809,1276,1,Ice dungeonx 6,dungeonx,red,0
5049,1220,1,Ice dungeonx 7,dungeonx,red,0
1022,1372,1,Mines of Morinia,dungeonx,red,0
3058,2562,1,Montor Sewers,dungeonx,red,0
3619,460,1,Perinian Depths,dungeonx,red,0
3831,1496,1,Time Awaits,dungeonx,red,0
3696,523,1,Temple of Wizardry,landmark,blue,0
1914,919,1,Abandoned Home,point,blue,0
3329,2063,1,Abandoned Home,point,blue,0
3027,384,1,Bandit Camp,point,blue,0
4874,2821,1,Graveyard,graveyard,blue,0
3508,2294,1,Dark Tower,landmark,blue,0
3798,1879,1,Dark Fortress,landmark,blue,0
3196,524,1,Light House,FISHERMANSGUILD,blue,0
2824,1901,1,Mangar's Tower,landmark,blue,0
572,503,1,Orc Fort,point,blue,0
3402,1187,1,Orc Fort,point,blue,0
2314,1826,1,Orc Fort,point,blue,0
1818,2232,1,Pirate Isle,point,blue,0
1303,1449,1,Ruins,ruins,blue,0
1705,1830,1,Ruins,ruins,blue,0
4333,2321,1,Serpent Pillars,landmark,blue,0
4754,2791,1,Ruins of Skara Brae,ruins,blue,0
5066,1205,1,Sorcerer Cave,point,blue,0
541,203,1,Temple Ruins,ruins,blue,0
3370,1552,1,Dark Caves,point,blue,0
2985,927,1,Britain Castle,landmark,blue,0
3240,1705,1,Hall of Legends,landmark,blue,0
4901,2746,1,Cavern of the Deep Ones,point,blue,0
1445,1628,1,Runic Doorway,pointofinterest,blue,0
