SkillId,SkillName,SourcePath,Status,Notes
0,Alchemy,Data/System/Source/Skills.cs,SourceVerified,
1,Anatomy,Data/System/Source/Skills.cs,SourceVerified,
2,Druidism,Data/System/Source/Skills.cs,SourceVerified,
3,Mercantile,Data/System/Source/Skills.cs,SourceVerified,
4,ArmsLore,Data/System/Source/Skills.cs,SourceVerified,
5,Parry,Data/System/Source/Skills.cs,SourceVerified,
6,Begging,Data/System/Source/Skills.cs,SourceVerified,
7,Blacksmith,Data/System/Source/Skills.cs,SourceVerified,
8,Bowcraft,Data/System/Source/Skills.cs,SourceVerified,
9,Peacemaking,Data/System/Source/Skills.cs,SourceVerified,
10,Camping,Data/System/Source/Skills.cs,SourceVerified,
11,Carpentry,Data/System/Source/Skills.cs,SourceVerified,
12,Cartography,Data/System/Source/Skills.cs,SourceVerified,
13,Cooking,Data/System/Source/Skills.cs,SourceVerified,
14,Searching,Data/System/Source/Skills.cs,SourceVerified,
15,Discordance,Data/System/Source/Skills.cs,SourceVerified,
16,Psychology,Data/System/Source/Skills.cs,SourceVerified,
17,Healing,Data/System/Source/Skills.cs,SourceVerified,
18,Seafaring,Data/System/Source/Skills.cs,SourceVerified,
19,Forensics,Data/System/Source/Skills.cs,SourceVerified,
20,Herding,Data/System/Source/Skills.cs,SourceVerified,
21,Hiding,Data/System/Source/Skills.cs,SourceVerified,
22,Provocation,Data/System/Source/Skills.cs,SourceVerified,
23,Inscribe,Data/System/Source/Skills.cs,SourceVerified,
24,Lockpicking,Data/System/Source/Skills.cs,SourceVerified,
25,Magery,Data/System/Source/Skills.cs,SourceVerified,
26,MagicResist,Data/System/Source/Skills.cs,SourceVerified,
27,Tactics,Data/System/Source/Skills.cs,SourceVerified,
28,Snooping,Data/System/Source/Skills.cs,SourceVerified,
29,Musicianship,Data/System/Source/Skills.cs,SourceVerified,
30,Poisoning,Data/System/Source/Skills.cs,SourceVerified,
31,Marksmanship,Data/System/Source/Skills.cs,SourceVerified,
32,Spiritualism,Data/System/Source/Skills.cs,SourceVerified,
33,Stealing,Data/System/Source/Skills.cs,SourceVerified,
34,Tailoring,Data/System/Source/Skills.cs,SourceVerified,
35,Taming,Data/System/Source/Skills.cs,SourceVerified,
36,Tasting,Data/System/Source/Skills.cs,SourceVerified,
37,Tinkering,Data/System/Source/Skills.cs,SourceVerified,
38,Tracking,Data/System/Source/Skills.cs,SourceVerified,
39,Veterinary,Data/System/Source/Skills.cs,SourceVerified,
40,Swords,Data/System/Source/Skills.cs,SourceVerified,
41,Bludgeoning,Data/System/Source/Skills.cs,SourceVerified,
42,Fencing,Data/System/Source/Skills.cs,SourceVerified,
43,FistFighting,Data/System/Source/Skills.cs,SourceVerified,
44,Lumberjacking,Data/System/Source/Skills.cs,SourceVerified,
45,Mining,Data/System/Source/Skills.cs,SourceVerified,
46,Meditation,Data/System/Source/Skills.cs,SourceVerified,
47,Stealth,Data/System/Source/Skills.cs,SourceVerified,
48,RemoveTrap,Data/System/Source/Skills.cs,SourceVerified,
49,Necromancy,Data/System/Source/Skills.cs,SourceVerified,
50,Focus,Data/System/Source/Skills.cs,SourceVerified,
51,Knightship,Data/System/Source/Skills.cs,SourceVerified,
52,Bushido,Data/System/Source/Skills.cs,SourceVerified,
53,Ninjitsu,Data/System/Source/Skills.cs,SourceVerified,
54,Elementalism,Data/System/Source/Skills.cs,SourceVerified,
55,Mysticism,Data/System/Source/Skills.cs,SourceVerified,
56,Imbuing,Data/System/Source/Skills.cs,SourceVerified,
57,Throwing,Data/System/Source/Skills.cs,SourceVerified,
